,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Address,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder
379,2 BHK 955 Sq-ft Flat,44.0 Lac,"Kadugodi, Bangalore",1,2,0,955,"4,607",Under Construction,New,1 (Out of 4 floors),None,,"Yes, 3","5 Elements, a premium lifestyle apartment strategically located in Whitefield. This luxury lifestyle apartment offers 5 floors of premium 2 BHK and 3 BHK flats. Each designed sophisticatedly for spacious interiors, ample lighting and lavish modern facilities. Spread over 75000 SQFT compound, 5 elements beautifully combines the essence of modern urban living with the peaceful ambiance with a complete balance on the five elements of nature.",44.0 Lac,"Whitefield, Bangalore, Kadugodi, Bangalore - East, Karnataka",,,,,"22,314 per month 22 Lac loan for 15 years ",Anand Naidu
380,3 BHK 1490 Sq-ft Flat,49.9 Lac,"Electronics City Phase 1, Bangalore",3,3,0,1490,"3,349",Ready to Move,New,,1 Covered,Semi-Furnished,"Yes, 2","This East facing apartment is located at Electronic City Phase I, Bangalore. It is spread across 5 acres with lots of open spaces.",49.9 Lac,"Electronics City Phase 1, Bangalore - South, Karnataka",,New Construction,,,"25,306 per month 25 Lac loan for 15 years ",Narendra Chary
381,2 BHK 1196 Sq-ft Flat,40.5 Lac,"Rajarajeshwari Nagar, Bangalore",2,2,1,1196,"3,386",Ready to Move,New,,"1 Covered, 1 Open",,"Yes, 3","Grand Gandharva is Situated in Mysore Road, west of Bangalore,The landmark, aptly away from the hustle and bustle of the city makes you and your family secure, easy connectivity from Nice Road to International Airport,IT hub Electronic City and all parts of city. Surrounded by International educational Institutions, Hospitals and Shopping malls.The complete luxurious lifestyles experience at Grand Ghandharva designer Club house that endeavours rich relaxing ambience with facilities you and your family need to rejuvenate and celebrate.",40.5 Lac,"Rajarajeshwari Nagar, Bangalore - South, Karnataka",Near by Bata Showroom,New Construction,,,"20,539 per month 20.3 Lac loan for 15 years ",Sukruth
382,2 BHK 1201 Sq-ft Flat,80.8 Lac,"JP Nagar Phase 7, Bangalore",1,2,0,1201,"6,731",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 1","These flats for sale in JP Nagar, Bangalore offer a system of no common wall that eliminates all the discomforts from sharing a common wall. The distinct feature in its design has enabled to keep away from the disturbances from the next door and offers better privacy as well. These luxurious flats in JP Nagar also include a landscaped terrace garden as well as a swimming pool at the terrace level to bring in a ray of refreshing air to the buzzing life. Mahaveer Jasper, with its strategic position, image emblematic and contemporary design that stands out from the rest, is distinct in appearance and beautifully designed to meet convenience and amenities, all in one hand.",80.8 Lac,"JP Nagar Phase 7, Bangalore, JP Nagar Phase 7, Bangalore - South, Karnataka",,,,,"40,997 per month 40.4 Lac loan for 15 years ",Mahaveer
383,3 BHK Flat,71.7 Lac,"Tumkur Road, Bangalore",3,3,0,1022,"7,015",Under Construction,New,,None,Unfurnished,"Yes, s","The apartments at Arvind Oasis are skilfully outlined using modern themes and latest technologies. The science of space is thoughtfully applied to create vaastu compliant, capacious and upscale abodes, best suited for urban livelihood.",71.7 Lac,"Tumkur Road, Bangalore, Tumkur Road, Bangalore - West, Karnataka",,,,,"36,358 per month 35.8 Lac loan for 15 years ",Arvind Khatri
384,2 BHK 1120 Sq-ft Flat,36.9 Lac,"Electronics City Phase 1, Bangalore",2,2,0,1120,"3,299",Under Construction,New,,None,,"Yes, s","Murari Grand is one of the residential developments by Murari Builders, located in Bangalore. The project offers 2BHK and 3BHK flats at very competitive and affordable price. It is well planned and is built with all modern amenities.",36.9 Lac,"Electronics City Phase 1, Bangalore - South, Karnataka",,,,,"18,738 per month 18.5 Lac loan for 15 years ",Kiran Mupiri
385,3 BHK 2850 Sq-ft Flat,2.80 Cr,"Hebbal, Bangalore",3,3,2,2850,"9,824",Under Construction,New,,2 Covered,,"Yes, 3","This Multistorey Apartment at Ground faces North & overlooks Garden/Park, Pool offering a beautiful view from the house. The type of ownership is Freehold. and Store Room are additionally available. Separate servant quarter is provided. Reserved covered car parking for residents available. Bank loans available from Axis Bank, SBI, HDFC, ICICI, IDBI, Deutsche Bank, Karur Vysya Bank, HSBC, DHFL, LIC Housing Finance.",2.80 Cr,"Hebbal, Hebbal, Bangalore - North, Karnataka","Hebbal, International Airport Roa",,1.6% higher than the avg. price,,1.4 Lac per month 1.40 Cr loan for 15 years ,Stanley
386,3 BHK 1432 Sq-ft Flat,69.1 Lac,"Jakkuru Layout, Bangalore",3,3,0,1432,"4,824",Under Construction,New,,1 Covered,,"Yes, 1","SLV Essenza, is a residential development of SLV Structures, located in Jakkur road Bangalore. It offers spacious and skillfully designed 2BHK and 3BHK apartments. The project is well equipped with all the basic amenities to facilitate the needs of the residents.The site is in close proximity to various civic utilities like educational institutes, work place, hospitals & malls and entertainment.Kempegowda international airport is just 19 minutes drive.Swimming Pool, Gym, Multi Purpose Hall, CCTV, Intercom Facility, Rain Water Harvesting, Jogging Track, Children Play Area, Power backup.",69.1 Lac,"Jakkur, Bangalore, Jakkuru Layout, Bangalore - North, Karnataka",,,,,"35,039 per month 34.5 Lac loan for 15 years ",Merit Homes
387,3 BHK 3531 Sq-ft Flat,3.53 Cr,"Hebbal, Bangalore",3,3,2,3531,"10,000",Ready to Move,New,20 (Out of 22 floors),2 Covered,,"Yes, 4","Multistorey apartment is available for sale at Embassy Lake Terraces, our designers and engineers have taken particular care in ensuring privacy, total security and a high quality of life with landscaped terraces, viewing decks and of course, the jogging trail, this aero-promenade raises the bar for residential leisure spaces. It has wall to wall glass facades, 3.4 meter high ceilings and Italian marble in our air-conditioned apartments heighten the sense of luxury, while the engineered wooden flooring gives you the comfort that you are on a firm footing. This is luxury at its finest.",3.53 Cr,"Hebbal Flyover Main Road, Bangalore, Karnataka, India, Hebbal, Bangalore - North, Karnataka",Near to Columbia Asia Hospital.,New Construction,10.7% lower than the avg. price,,1.5 Lac per month 1.76 Cr loan for 15 years ,Bhavesh Kothari
388,1 BHK 660 Sq-ft Flat,56.0 Lac,"Binnypete, Bangalore",1,1,1,660,"8,484",Under Construction,New,8 (Out of 32 floors),None,,"Yes, 4","Parkwest is a premium residential project by Shapoorji Pallonji, located in Binny Pete, West Bangalore. This magnificent project offers a variety of choices for varying needs. With residences ranging from studio apartments to 2BHK and 3BHK apartments and penthouses; this luxury project is surrounded by lush greenery and ample open spaces to offer a lifetime experience to the buyers. MAPLEElevation G+31 floorsStructure Wing A, B , C with four elevators and two staircase in each wing. 16 Units Floor",56.0 Lac,"Binnypete, Bangalore, Binnypete, Bangalore - Central, Karnataka",Victoriya HospitalMantri MallGopalan LegacyMajestic Railway Station,,6.4% higher than the avg. price,,"28,399 per month 28 Lac loan for 15 years ",Neetu
389,4 BHK 2757 Sq-ft Flat for Sale in JP Nagar,2.48 Cr,"JP Nagar,Bangalore",4,4,0,2757,"8,999",,,,None,Unfurnished,No,We are happy to announce Pinnacle Classic located at JP Nagar 1st Phase Outer ring road Bangalore one of the Posh Bangalore Residential corridor,2.48 Cr,"Pinnacle calssic flat no 106 1st floor JP nagar Outer ring road Bangalore, JP Nagar, Bangalore - South, Karnataka",Nandhini hotel,,,,1.3 Lac per month 1.24 Cr loan for 15 years ,Mahesh Naidu
390,3 BHK 1542 Sq-ft Flat,71.7 Lac,"Horamavu, Bangalore",3,3,1,1542,"4,650",Under Construction,New,4 (Out of 13 floors),None,,"Yes, 2",LANDOWNER SHAREProject Total Area – 4.06 Acres.No Of Floor – 13.Total Units – 334 Apartments.Total Open Space – 74% Open Space.,71.7 Lac,"Horamavu, Horamavu, Bangalore - North, Karnataka",Near Church of Hope,,,,"36,361 per month 35.9 Lac loan for 15 years ",Ashish Agarwal
391,3 BHK 1494 Sq-ft Flat,1.07 Cr,"Mahadevapura, Bangalore",3,2,0,1494,"7,162",Under Construction,New,,None,,"Yes, 3","DNR Casablanca - an urban living experience of multi-storied twin tower apartments, strategically located amidst the vibrancy in Mahadevapura, Whitefield Main Road.It is just around the corner from shopping, restaurants, recreation and a short walk to work or your child's school. A Casablanca resident will have the luxury of a timely commute with just a walk.",1.07 Cr,"Mahadevapura, Bangalore - East, Karnataka",,,10.7% higher than the avg. price,,"54,263 per month 53.5 Lac loan for 15 years ",Jayashree
392,3 BHK 1718 Sq-ft Flat,88.6 Lac,"Kanakapura Road, Bangalore",1,3,0,1718,"5,158",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 2","At Amber Woods, living luxuriously comes easy. It provides all modern amenities, each thoughtfully planned to make every day living an experience to cherish. Amber Woods includes a club house with swimming pool, covered car parking, fully equipped gym, childrens play area, jogging track, power backup to each flat, rain water harvesting, door video calling security system, and granite flooring for all common areas.",88.6 Lac,"Kanakapura Road, Bangalore - South, Karnataka",,,,,"44,942 per month 44.3 Lac loan for 15 years ",Anupam Mishra
393,3 BHK 1865 Sq-ft Flat,1.15 Cr,"Jakkur, Bangalore",3,3,0,1865,"6,166",Under Construction,New,,None,Unfurnished,"Yes, s","Welcome to Century Breeze --Conveniently located off BIAL Road, Century Breeze boasts a unique feature that sets it apart from other apartment complexes the homes only occupy 25% of the total property. This ensures that there is a large area of wide open spaces that you will love to explore, because we have furnished this verdant paradise with state-of-the-art amenities. Century Builders under constructing the dream project in the naming of Century Breeze in Jakkur, North Bangalore. Apartment has 2, 3 and 3.5 BHK luxurious apartments.",1.15 Cr,"Jakkur, Bangalore - North, Karnataka",,,7.2% higher than the avg. price,,"58,320 per month 57.5 Lac loan for 15 years ",Prime Homes
394,3 BHK 1860 Sq-ft Flat,1.19 Cr,"Whitefield, Bangalore",3,4,0,1860,"6,426",Ready to Move,New,,2 Covered,Unfurnished,"Yes, s","Located in Whitefield, Bangalore, the Umiya Woods offers easy connectivity to Hypercity, Forum Value Mall, Apollo Clinic, Sri Sathya Sai Hospital, Sigma Technology Park, Inorbit, Ascendas Park Square etc. The society is equipped with 3BHK apartments that are spread across the total area of 1700 sqft. and are equipped with 3 bedrooms and 3 bathrooms.Meet Umiya Group at India Property Fair, Singapore on 28th & 29th Oct'17PARK ROYAL , KITCHENER ROAD, Emerald Ballroom 111 00 AM TO 7 00 PM",1.19 Cr,"Whitefield, Bangalore - East, Karnataka",,,12.1% higher than the avg. price,,"60,616 per month 59.8 Lac loan for 15 years ",Ajay Achpal
395,3 BHK Villa,1.07 Cr,"Aster,Devanahalli,Bangalore",3,3,0,2148,"4,981",Under Construction,New,,None,,"Yes, s","The project is a residential development, villas that are new in design. This tranquil residential layout offers 49 Villas, with full-fledged amenities and much more. Just blocks away from NH44 and 15 minutes from International Airport, this project at Devanahalli (the developing strip of Bangalore) offers everything anyone has desired for.",1.07 Cr,"Devanahalli, Bangalore - North, Karnataka",,,62.6% lower than the avg. price,,"54,263 per month 53.5 Lac loan for 15 years ",Aster
396,1 BHK 920 Sq-ft Flat,48.1 Lac,"Electronics City Phase 1, Bangalore",1,1,0,920,"5,228",Ready to Move,New,,None,Unfurnished,"Yes, s","MJR Clique Signature Apartments is located idyllically on Neo Town Road in Electronics City Phase-I housing umpteen IT companies. Comfortably connected and shares close proximity to Educational Institutions, Hospitals and Social Infrastructures. Signature apartments is a residential retreat your family has been longing to discover, offering a unique lifestyle that you will love with the best design features that will put your Signature on your lifestyle. Come and experience the Signature Lifestyle and show your friends what living well is all about, as it is a perfect balance of peaceful serenity and modern convenience.",48.1 Lac,"Electronics City Phase 1, Bangalore - South, Karnataka",,,,,"24,393 per month 24.1 Lac loan for 15 years ",Swetha
397,Residential Plot,27.1 Lac,"NBR Hills View,Nandi hills,Bangalore",0,0,0,1200,,,,,None,,No,"It is everyone's ardent desire to stay far from the madding crowd, especially when lives in a happening metro like Bangalore. It is great to enjoy the hustle bustle of the city life for most of the day but, when you retire for the day, it is peace and quiet that you long for. You get all of this and much more with NBR Hills View.",27.1 Lac,"Nandi Hills, Bangalore, Nandi hills, Bangalore - North, Karnataka",,,,,"13,743 per month 13.6 Lac loan for 15 years ",GR Devendranath
398,2 BHK 86 Sq-m Flat,58.3 Lac,"Mysore Road, Bangalore",2,2,0,86,,Ready to Move,New,,None,Unfurnished,No,"Our dream home. Paid for with late nights, sweat and sacrifice. This is your prize for building up a business one customer at a time. Nurturing a family one heartbeat at a time. This is your temple of tranquility, your reward and deservedly so. Welcome to Princeville. Where a forty-acre green carpet becomes a gorgeous backdrop to your home. Where the coconut grove gently whispers secrets of a better life while you stretch your legs by the Kengeri lake. A gym, a convenience store, with easy access to the metro, a few-minute walk to the Global Tech Village SEZ, and a host of schools, malls and hospitals in the nearby vicinity for those rare times when you want to step out of your private kingdom. With just four apartments per floor, no common walls and apartments unobstructed on all four sides, you're assured discreet privacy, majestic views and soothing ventilation. Above prices are all inclusive expect registration.",58.3 Lac,"Mysore Road, Bangalore - West, Karnataka",,,,,"29,566 per month 29.2 Lac loan for 15 years ",Roshan
399,2 BHK 656 Sq-ft Flat,19.2 Lac,"Attibele, Bangalore",2,2,0,656,"2,927",Ready to Move,New,,None,Unfurnished,"Yes, s","Janaadhar Shubha is promoted by Janaadhar India Pvt. Ltd., a company dedicated to providing well designed, high quality homes at a budget. The company is part of the Jana group of companies and headed by Mr.Ramesh Ramanathan, a very well known social entrepreneur. Planned as a budget housing solution, Janaadhar Shubha is being developed on an 11.5 acres plot on the Attibele-Anekal Road, on the outskirts of Bangalore city. Located close to several of the city's major industrial belts, the township consists of 1128 apartments. The apartments, which are open from 3 sides, are a true testament to design efficiency and superior planning, applied for the first time in the area of budget housing.Cluster 1- PR000313Cluster 2- PR000337Cluster 3- PR000353",19.2 Lac,"Attibele, Bangalore - Anekal, Karnataka",,,,,"9,737 per month 9.6 Lac loan for 15 years ",Janaadhar (India) Pvt. Ltd.
400,3 BHK 1452 Sq-ft Flat,84.2 Lac,"Whitefield, Bangalore",2,2,0,1452,"5,799",Under Construction,New,2 (Out of 14 floors),None,,"Yes, 2","Located at Hoodi Circle, Opp. Zuri, Bangalore, Dsr Infra Lotus Towers is where stress unheard of. Located in a prime residential and commercial area, this project is where life ceases to be mere existence, and attains the form of a celebration.",84.2 Lac,"Whitefield, Bangalore - East, Karnataka",,,5.5% lower than the avg. price,,"42,701 per month 42.1 Lac loan for 15 years ",Narayana
401,2 BHK 1190 Sq-ft Flat,48.0 Lac,"Mysore Road, Bangalore",2,2,0,1190,"4,034",Under Construction,New,8 (Out of 15 floors),None,,"Yes, 2","Meda Greens has 2 and 3 BHK Luxury Apartments located on Mysore Highway, Bangalore Near R.V College of Engg. Each apartment in Meda Greens has individually designed to ensure maximum ventilation, comfort and optimally sized to provide you with a tranquil life. It is located less than 2.5 km from Global Village Tech Park, Bangalore University, RV Engineering College, BGS Global Hospital, Metro Station, and Gopalan mall. Provides one of the best connectivity across Bangalore as is 4 KMS from Outer Ring Road, 2 Kms from Nice Ring Road.",48.0 Lac,"Mysore Road, Bangalore - West, Karnataka",,,,,"24,342 per month 24 Lac loan for 15 years ",Sandip
402,2 BHK 1399 Sq-ft Flat,92.2 Lac,"Marathahalli, Bangalore",2,2,0,1399,"6,590",Ready to Move,New,14 (Out of 14 floors),1 Covered,,"Yes, 2","Durga Petals stands tall in the midst of swanky malls, prestigious restaurants, reputed Indian and International Schools, train stations, natural lakes, and the most important of all, it's right in the centre of Marathahalli's IT corridor. Petals gives you the freedom to choose from among seemingly endless options. Pick between 2, 2.5 or 3 BHK; drive to your office or log in from our Work-from-home Cubicle Spaces; dip your feet in the Open Pool or the Semi-covered Temperature-controlled one; take a walk in the park or tryst with the Barbecue Grill. The 13 luxurious towers soar upwards, mirroring your urban aspirations. Adding to that is an expansive clubhouse with carefully thought out amenities like a Day-care for children, Party Hall and more.",92.2 Lac,"Marathahalli, Bangalore - East, Karnataka",,,5.8% lower than the avg. price,,"46,755 per month 46.1 Lac loan for 15 years ",Durga Projects
403,2 BHK 1070 Sq-ft Flat,46.0 Lac,"Whitefield, Bangalore",2,2,0,1070,"4,199",Ready to Move,New,13 (Out of 14 floors),None,,"Yes, s","An address to lifestyle BOLLINENI SILAS is a premium residential development within a 10 acres layout comprising of 650 plus Apartments. This gated community is located on Belathur Main road, Sadarmangala, Whitefield, Bangalore with fantastic connectivity to the surrounding MNC's, Education, Hospitals and Shopping Malls.  Quality Construction BSCPL Infrastructures is one of the largest infrastructure company in India carrying the finest civil engineering experience of 43 years. BSCPL Infrastructure is involved in a range of infra projects (Roads, Airport works, Bridges, Building construction, Irrigation and Railway freight corridor works), Real estate and Health care. The company has taken up Real Estate development projects in DUBAI, HYDERABAD, CHENNAI, and BENGALURU.",46.0 Lac,"Whitefield, Bangalore - East, Karnataka",,,11.1% lower than the avg. price,,"23,328 per month 23 Lac loan for 15 years ",Ajay Kumar
404,3 BHK 1366 Sq-ft Flat,87.2 Lac,"Whitefield, Bangalore",3,3,0,1366,"6,384",Under Construction,New,,None,,"Yes, s","Here's to the ones who've found their space, their own relaxed air, and the natural calm that only comes with feeling perfectly at home.",87.2 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"44,222 per month 43.6 Lac loan for 15 years ",Muthanna
405,Residential Plot,78.0 Lac,"Canterbury Castles,Nandi hills,Bangalore",0,0,0,4000,,,,,None,,No,This plot has hedge lining on the peripheries. It is located against the picturesque backdrop of Nandi Hill. It is an hours drive from the heart of Bangalore city and near Bangalore International Airport. It has fruit and flower bearing plants and resourceful trees. It has un-interrupted power supply and separate feeder connected at the Sub Station. South-Wes facing.,78.0 Lac,"Nandi hills, Bangalore - North, Karnataka",,,,,"39,556 per month 39 Lac loan for 15 years ",Rihanna
406,2 BHK 1015 Sq-ft Flat,50.8 Lac,"Kogilu, Bangalore",2,2,0,1015,"5,000",Under Construction,New,,1 Open,,"Yes, 1","GVSPL Gardens is an unmatched residential property located in Kogilu, Bangalore. The project offers plenty of benefits that include prime location, comfortable and lavish lifestyle, great amenities, healthy surroundings and high returns.",50.8 Lac,"Kogilu, Bangalore - North, Karnataka",,,,,"25,737 per month 25.4 Lac loan for 15 years ",Deepthi GVSPL
407,3 BHK 1757 Sq-ft Flat,1.04 Cr,"Sahakara Nagar, Bangalore",3,2,0,1757,"5,919",Ready to Move,New,,1 Covered,Unfurnished,"Yes, 2","Alpine Pyramid is a latest premium apartment township, proudly announced by Alpine Housing Developement Corporation Ltd. Alpine Pyramid, in Sahakarnagar, is set in natural, move with a smooth, wave-like lush green valley landscape by premium 2 BHK and 3 BHK flats sprawled across 08 acres of total land. The Alpine Pyramid Bangalore is designed by clusters with a green open courtyard style green patch, where the perfect place to catch up on the lives of neighbours, chat and build a friendly community. The project comes with giving a feel of greenery and fresh air, with jogging trail, green lawns, recreational parks and misty mornings.",1.04 Cr,"Sahakara Nagar, Bangalore - North, Karnataka",,,1.9% higher than the avg. price,,"52,742 per month 52 Lac loan for 15 years ",Alpine Housing
408,3 BHK 1365 Sq-ft Flat,48.0 Lac,"K R Puram, Bangalore",3,2,0,1365,"3,516",Under Construction,New,,1 Covered,,"Yes, 2","Welcome to ASN Serenity, the quintessence of urban luxury. Wrapped in verdant greenery, the iconic form and proportionate scale of ASN Serenitys residential community create a spectacular sight to behold. Taking leisurely living to a wholly new altitude is the glorious setting thats replete with idyllic charm, serene atmosphere and trendy vibe.",48.0 Lac,"K R Puram, Bangalore - East, Karnataka",,,,,"24,342 per month 24 Lac loan for 15 years ",Siva Kumar
409,Residential Plot,24.0 Lac,"Celebrity Prime Eco Front,Jigani,Bangalore",0,0,0,1500,,,,,None,,No,Luxury Villas Plots in Gated Community for sale near Electronic City.,24.0 Lac,"Jigani, Bangalore - Anekal, Karnataka",,,,,"12,164 per month 12 Lac loan for 15 years ",Siddharth
410,4 BHK 2107 Sq-ft Flat,1.0 Cr,"Hoodi, Bangalore",4,4,0,2107,"4,750",Under Construction,New,,None,,No,"We Challenge. You Can't Find A Home In East Bengaluru For This Price! Casagrand Royce, 1, 2, 3 & 4 BHK apartments at Hoodi Junction, Just 10 mins from Whitefield & 5 mins from Hoodi Metro",1.0 Cr,"Hoodi, Bangalore - East, Karnataka",,,2.2% higher than the avg. price,,"50,755 per month 50 Lac loan for 15 years ",Gautam
411,2 BHK 943 Sq-ft Flat,33.3 Lac,"Sarjapur, Bangalore",2,2,0,943,"3,531",Ready to Move,New,,None,Semi-Furnished,No,"Urban Eco Space is one of the residential development of Inner Urban Infraestate, located in Bangalore. It offers spacious and skillfully designed apartments. The project is well equipped with all modern amenities and 24 x 7 security service to facilitate the needs of the residents.",33.3 Lac,"Sarjapur, Bangalore - South East, Karnataka",,,,,"16,888 per month 16.7 Lac loan for 15 years ",Vishwanath
412,Residential Plot,75.9 Lac,"Pionier Lifestyle,Sarjapur Road,Bangalore",0,0,0,1650,,,,,None,,No,"Pionier Developers are proud to present to you Pionier LifeStyle our flagship project and the BDA Approved Gated Community in Off Sarjapur Road Bangalore ever. A premium residential layout development located close to HSR, off Sarjapur Road, Bangalore. The 8 acres of the expansive, BDA approved premium development is set to launch in May 2018. Pionier LifeStyle Offers 107 Villa Plots set within eight acres of landscaped area with a host of modern amenities. Inspired by Bangalore's old world charm with sprawling spaces in the lap of luxury, Pionier LifeStyle promises to offer luxury living with a contemporary lifestyle",75.9 Lac,"Sarjapur Road, Bangalore - East, Karnataka",,,,,"38,483 per month 37.9 Lac loan for 15 years ",Manjunath Rao
413,3 BHK Villa,79.0 Lac,"Nanda Prakruthi,Kanakapura Road,Bangalore",1,3,0,2000,"3,950",Ready to Move,New,,2 Covered,Semi-Furnished,"Yes, s","Nanda Estates, One of the Bangalore's Upstanding Builders and Developers, Has come up with a new Villa project @ Nanda Prakruthi off Kanakapura Road. At Nanda Prakruthi you can experience the Villa Enclave with Tranquillity, connectivity and Greenery. Nanda Prakruthi has been designed to be a self-sufficient place for living which will offer amenities that exhibit a grand Lifestyle, with a green space that fills Joy in your Life. Get back to Home with an Outdoor Space, A space that fills up with Happiness, A space where you can recharge, Refresh and Rebalance Yourself. It Is Close to Educational Institutes, Hospitals and Many Relaxation Centres.",79.0 Lac,"Kanakapura Road, Bangalore, Kanakapura Road, Bangalore - South, Karnataka",,,,,"40,064 per month 39.5 Lac loan for 15 years ",K M Muniram
414,3 BHK 1610 Sq-ft Flat,1.0 Cr,"Old Airport Road, Bangalore",3,3,0,1610,"6,211",Under Construction,New,,None,,"Yes, s","A sequel to the project white wings off HAL Airport Road and adjacent to it is Blue Wings of 150 apartments. With excellent connectivity to prime area of Bangalore, commercial office complexes and top schools in the vicinity. Away from the noise of the city, in a residential setting is a dream and sought after location. As always with a Fortuna constructions project, quality and service assured to our customers who make us. The project is just 4 km from the Hotel Leela Place and Manipal Hospital.BBMP Approved.",1.0 Cr,"Old Airport Road, Bangalore - East, Karnataka",,,,,"50,713 per month 50 Lac loan for 15 years ",Archana
415,3 BHK Villa,87.3 Lac,"Celebrity Natures Habitat,Sarjapur-Attibele Road,Bangalore",3,3,0,1908,"4,575",Ready to Move,New,,None,Unfurnished,"Yes, s","Built subtly across the lush landscape to evoke the joy of living in natures bounty, every home is deliberated in passion and consciously designed for harmony between laid-back elegance and unparalleled comfort. At Natures Habitat, you get to live in an abode that seduces you viscerally and elevates your lifestyle to where you truly belong. A life that is lived amidst eclectic design sense and flamboyant surroundings. One where every inch oozes sophistication and blissfulness. Here, you get to choose from 3 BHK and 4 BHK villas-both with an option of an additional study room. But no matter the size of your home, we have ensured that living spaces are lavish, contemporary and spacious. With wooden flooring for master bedrooms, provision for modular kitchen, a skylight, large balconies, and windows designed to let in ample natural night and air, your home is nothing short of your own private paradise.",87.3 Lac,"Sarjapur-Attibele Road, Bangalore - East, Karnataka",,,,,"44,273 per month 43.7 Lac loan for 15 years ",George
416,3 BHK 1430 Sq-ft Flat,55.3 Lac,"Bannerghatta Main Road, Bangalore",3,3,1,1430,"3,870",Ready to Move,New,1 (Out of 4 floors),1 Covered,,"Yes, 3","Interestingly designed 2 and 3 BHK flats in various sizes, depending on how much you can stretch your plans.You have options ranging from 1120 sq ft to 1525 sqft and several sizes in between. Living here will make you want to get more out of your life, as your home gives you all the peace, comfort and facilities you have desired for.Price All Inclusive",55.3 Lac,"Tejaswini Nagar, Bannerghatta Road, Bangalore - South, Karnataka",Landmark near South park,,16.4% lower than the avg. price,,"28,065 per month 27.7 Lac loan for 15 years ",Harsha
417,3 BHK 1368 Sq-ft Flat,61.5 Lac,"Nagarbhavi, Bangalore",1,2,0,1368,"4,496",Under Construction,New,4 (Out of 4 floors),None,,"Yes, 2","Luxury takes on a new definition at Sidvin Grace. Be it picture-perfect interiors, aesthetically designed structures, innovative ideas in space management or the understated elegance of fine finishes, this is where unmatched essentials of good living create an ambiance for happiness and fine living.",61.5 Lac,"Nagarbhavi, Bangalore, Nagarbhavi, Bangalore - West, Karnataka",,,,,"31,189 per month 30.8 Lac loan for 15 years ",Sidvin
418,3 BHK Villa,81.0 Lac,"Terra Alegria,Whitefield,Bangalore",3,3,0,1975,"4,101",Under Construction,New,,1 Covered,,No,"Terra Alegria, a Gated Luxury Villa Community project spread over 7.5 Acres of Phase 1, located in Whitefield East-end. This project is strategically located just off the NH4 and bang on NH 207, and offers excellent connectivity to IT Parks like ITPL,BGRT,the various state highways, the airport, the Narsapura Industrial Area and the proposed six-lane Bangalore-Chennai Expressway.",81.0 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"41,078 per month 40.5 Lac loan for 15 years ",Srinivas M
419,4 BHK Villa,2.12 Cr,"RBD Stillwaters,Sarjapur Road,Bangalore",4,4,2,2629,"8,064",Ready to Move,New,,"1 Covered, 1 Open",Unfurnished,Yes,"A Symphony of Nature awaits you No, it is just being plain honest. We have strived for years working with the best technicians, architects, planners and consultants to put together the finest residential enclave that we possibly could, christening it RBD Stillwaters. Offer - Pay 20% on Agreement and balance after Possession.",2.12 Cr,"Sarjapur Road, Bangalore - East, Karnataka",Nandini Parlour,New Construction,8.3% higher than the avg. price,,1.1 Lac per month 16 Cr loan for 15 years ,W J Gonsalves Kumar
420,2 BHK 1095 Sq-ft Flat,61.0 Lac,"Bommanahalli, Bangalore",2,2,0,1095,"5,571",Under Construction,New,,None,,"Yes, s","Located at Kodichikkanahalli in Bommanahalli, Bangalore, one of the best location to by home in Bangalore SLV Magnum offers apartment for sale in Bangalore with array of amenities, a one of kind project which is uniquely catering to its resident's needs, apartment that has enough space to enjoy your life with your family where you can get the freshness of life. You can enjoy being in a peaceful environment while staying connected with City.",61.0 Lac,"Bommanahalli, Bangalore - South, Karnataka",,,,,"30,935 per month 30.5 Lac loan for 15 years ",Tejesh
421,3 BHK 1898 Sq-ft Flat,1.80 Cr,"Old Airport Road, Bangalore",3,3,0,1898,"9,484",Ready to Move,New,,None,Unfurnished,Yes,"Welcome to DivyaSree 77 Place, the Only Town centre within the city limits. DivyaSree 77 Place is part of a 72 Acre mixed use town centre within city limits with excellent Social infrastructure and good connectivity to New-Age Offices. DivyaSree 77 Place consists of 370 thoughtfully designed Luxury apartments in 9 different types to suit various needs/budgets of modern Indian families.",1.80 Cr,"Old Airport Road, Bangalore - East, Karnataka",,,2.4% lower than the avg. price,,"91,284 per month 90 Lac loan for 15 years ",Aspire Proptech Consultants Pvt. Ltd.
422,3 BHK 1479 Sq-ft Flat,69.2 Lac,"Bannerghatta Main Road, Bangalore",3,2,0,1479,"4,679",Under Construction,New,,1 Covered,,"Yes, s","Sumukha Tropical Garden is a project conceived for the generation who expect all the contemporary lifestyle facilities for safety, security, health, comfort & convenience.",69.2 Lac,"Bannerghatta Road, Bangalore - South, Karnataka",,,,,"35,094 per month 34.6 Lac loan for 15 years ",Ravi
